index,code,batch,batch_position,id,name,category,image
1,001,1,1,pork,猪肉,meat,assets/images/ingredients/001_pork.webp
2,002,1,2,pork_belly,五花肉,meat,assets/images/ingredients/002_pork_belly.webp
3,003,1,3,pork_tenderloin,猪里脊,meat,assets/images/ingredients/003_pork_tenderloin.webp
4,004,1,4,pork_ribs,猪肋排,meat,assets/images/ingredients/004_pork_ribs.webp
5,005,1,5,pork_shoulder,梅花肉,meat,assets/images/ingredients/005_pork_shoulder.webp
6,006,1,6,pork_leg,猪后腿肉,meat,assets/images/ingredients/006_pork_leg.webp
7,007,1,7,pork_liver,猪肝,meat,assets/images/ingredients/007_pork_liver.webp
8,008,1,8,pork_intestine,猪大肠,meat,assets/images/ingredients/008_pork_intestine.webp
9,009,1,9,pork_trotter,猪蹄,meat,assets/images/ingredients/009_pork_trotter.webp
10,010,1,10,beef,牛肉,meat,assets/images/ingredients/010_beef.webp
11,011,2,1,beef_brisket,牛腩,meat,assets/images/ingredients/011_beef_brisket.webp
12,012,2,2,beef_tenderloin,牛里脊,meat,assets/images/ingredients/012_beef_tenderloin.webp
13,013,2,3,beef_shank,牛腱,meat,assets/images/ingredients/013_beef_shank.webp
14,014,2,4,beef_tripe,牛肚,meat,assets/images/ingredients/014_beef_tripe.webp
15,015,2,5,lamb,羊肉,meat,assets/images/ingredients/015_lamb.webp
16,016,2,6,lamb_leg,羊腿肉,meat,assets/images/ingredients/016_lamb_leg.webp
17,017,2,7,lamb_rack,羊排,meat,assets/images/ingredients/017_lamb_rack.webp
18,018,2,8,mutton_roll,羊肉卷,meat,assets/images/ingredients/018_mutton_roll.webp
19,019,2,9,chicken,鸡肉,poultry,assets/images/ingredients/019_chicken.webp
20,020,2,10,chicken_breast,鸡胸肉,poultry,assets/images/ingredients/020_chicken_breast.webp
21,021,3,1,chicken_thigh,鸡腿肉,poultry,assets/images/ingredients/021_chicken_thigh.webp
22,022,3,2,chicken_wing,鸡翅,poultry,assets/images/ingredients/022_chicken_wing.webp
23,023,3,3,chicken_feet,鸡爪,poultry,assets/images/ingredients/023_chicken_feet.webp
24,024,3,4,duck,鸭肉,poultry,assets/images/ingredients/024_duck.webp
25,025,3,5,duck_breast,鸭胸,poultry,assets/images/ingredients/025_duck_breast.webp
